[2025-09-02T21:16:29.654+0800] INFO - local_task_job_runner.py:123 - _execute() - ::group::Pre task execution logs
[2025-09-02T21:16:30.080+0800] INFO - taskinstance.py:2613 - are_dependencies_met() - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: hahow_crawler_dag.crawl_course_programming scheduled__2025-08-31T18:00:00+00:00 [queued]>
[2025-09-02T21:16:30.264+0800] INFO - taskinstance.py:2613 - are_dependencies_met() - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: hahow_crawler_dag.crawl_course_programming scheduled__2025-08-31T18:00:00+00:00 [queued]>
[2025-09-02T21:16:30.265+0800] INFO - taskinstance.py:2866 - _check_and_change_state_before_execution() - Starting attempt 1 of 2
[2025-09-02T21:16:30.444+0800] INFO - taskinstance.py:2889 - _check_and_change_state_before_execution() - Executing <Task(PythonOperator): crawl_course_programming> on 2025-08-31 18:00:00+00:00
[2025-09-02T21:16:30.563+0800] INFO - standard_task_runner.py:72 - _start_by_fork() - Started process 386 to run task
[2025-09-02T21:16:30.709+0800] INFO - standard_task_runner.py:104 - _start_by_fork() - Running: ['***', 'tasks', 'run', 'hahow_crawler_dag', 'crawl_course_programming', 'scheduled__2025-08-31T18:00:00+00:00', '--job-id', '20', '--raw', '--subdir', 'DAGS_FOLDER/hahow_crawler_dag.py', '--cfg-path', '/tmp/tmphtzg1rt2']
[2025-09-02T21:16:30.853+0800] INFO - standard_task_runner.py:105 - _start_by_fork() - Job 20: Subtask crawl_course_programming
[2025-09-02T21:16:31.478+0800] INFO - task_command.py:467 - task_run() - Running <TaskInstance: hahow_crawler_dag.crawl_course_programming scheduled__2025-08-31T18:00:00+00:00 [running]> on host a246a11defc8
[2025-09-02T21:16:33.721+0800] INFO - taskinstance.py:3132 - _execute_task_with_callbacks() - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data-team' AIRFLOW_CTX_DAG_ID='hahow_crawler_dag' AIRFLOW_CTX_TASK_ID='crawl_course_programming' AIRFLOW_CTX_EXECUTION_DATE='2025-08-31T18:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-08-31T18:00:00+00:00'
[2025-09-02T21:16:33.724+0800] INFO - taskinstance.py:731 - _execute_callable() - ::endgroup::
[2025-09-02T21:16:38.476+0800] INFO - logging_mixin.py:190 - _propagate_log() - category: programming, page:1, status_code:200
[2025-09-02T21:16:38.495+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '5ef484ec96fb8b534ac9018b', 'category': 'programming', 'uniquename': 'andyrockhive', 'title': '入門數據分析，掌握 Hive SQL 取數能力', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/5ef484ec96fb8b534ac9018b', 'price': 2680, 'preordered_price': 1980, 'average_rating': 5, 'num_rating': 11, 'owner_name': 'RockData 邱國欣(Andy Chiu)', 'sold_num': 145, 'bookmark_count': 521, 'meta_description': '提到數據分析的必備程式語言，大多數人腦中出現的關鍵字通常是 R 或 Python，大多 R/Python 的課程已經提供好分析所需要的數據了，但在真實的工作環境中，公司的數據都放在資料庫中，我們必須透過Hive語言到數據庫中把數取出來(簡稱：取數)。\n然而不少剛入門的數據分析師卻卡在這裡，他們無法順利的取出需要的數據做進一步分析。\n因此，在這堂課的內容會以為分析工作中常用的查詢操作為主，期望能快速應用到工作中！ ', 'cover_image': 'https://images.hahow.in/images/606d5868cceb9924afcec414', 'incubate_time': '2021-04-27T04:00:20.656Z', 'publish_time': '2021-07-27T09:31:33.618Z', 'video_length': 21965}
[2025-09-02T21:16:38.496+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '629c6f59a68c7300079d483d', 'category': 'programming', 'uniquename': 'python-web-app', 'title': ' Streamlit x ChatGPT 快速打造資料分析網頁', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/629c6f59a68c7300079d483d', 'price': 2888, 'preordered_price': 1999, 'average_rating': 4.56, 'num_rating': 9, 'owner_name': '臺灣行銷資料科學', 'sold_num': 233, 'bookmark_count': 401, 'meta_description': '本課程會帶領學員從商業實務、設計思維、Python 實作教學來認識並瞭解如何用 Streamlit 撰寫並部署資料科學網頁 App。在課程結束後，學員會完成 2 個資料分析的 App 作品。\n\n初探學術實驗與商務實戰的橋樑：Streamlit\n用 Streamlit 輕鬆分享生產水準的資料分析 App\n', 'cover_image': 'https://images.hahow.in/images/641aa241b6cc5de8c68255cc', 'incubate_time': '2023-03-22T04:00:13.476Z', 'publish_time': '2023-06-20T03:59:47.766Z', 'video_length': 20522}
[2025-09-02T21:16:38.497+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '5c82809d9d98460020c3078d', 'category': 'programming', 'uniquename': 'flipai-nlp1', 'title': '開啟你的 AI 技能 —— 無痛入門 NLP', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/5c82809d9d98460020c3078d', 'price': 2600, 'preordered_price': 1800, 'average_rating': 4.21, 'num_rating': 19, 'owner_name': 'AI翻轉教室', 'sold_num': 329, 'bookmark_count': 650, 'meta_description': 'NLP 自然語言處理課程，聚焦 AI 語音，帶你認識 AI 產業趨勢與商業應用，搭配 Python 程式語言和 Tensorflow 深度學習框架工具，掌握 AI 基礎知識與 NLP 核心技術，入門人工智慧與機器學習領域。', 'cover_image': 'https://images.hahow.in/images/5d8ece01a7e8fe0020d796cd', 'incubate_time': '2019-09-11T04:02:56.347Z', 'publish_time': '2019-12-10T04:22:33.012Z', 'video_length': 15687}
[2025-09-02T21:16:38.498+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '5f0fe663cad0d0ece0e58c6c', 'category': 'programming', 'uniquename': 'hexschool-bootstrap', 'title': '精通 Bootstrap 4 - 開發超強不解釋', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/5f0fe663cad0d0ece0e58c6c', 'price': 2600, 'preordered_price': 2600, 'average_rating': 5, 'num_rating': 7, 'owner_name': '六角學院', 'sold_num': 215, 'bookmark_count': 638, 'meta_description': '此課程不在是念過所有元件的基礎課程，課程中會透過簡報、動畫不斷的強化同學對於網頁設計、Bootstrap 的運用觀念，並且在課程的進行中會透過許多的案例加深對於元件的使用概念，讓學習框架不再只是依循著文件內容而已。', 'cover_image': 'https://images.hahow.in/images/5f4c7138de04c3766af99731', 'incubate_time': None, 'publish_time': '2020-07-31T04:01:07.721Z', 'video_length': 42101}
[2025-09-02T21:16:38.564+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '5a12b299152204001e1bd488', 'category': 'programming', 'uniquename': 'iosproject6', 'title': '超快速 iOS 實用開發入門～學會6個APP', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/5a12b299152204001e1bd488', 'price': 2200, 'preordered_price': 1200, 'average_rating': 4.74, 'num_rating': 23, 'owner_name': 'plusForm', 'sold_num': 441, 'bookmark_count': 1441, 'meta_description': 'iOS App 開發課程，自學開發 App，學習iOS最新的 swift 程式語言，並運用介面開發工具 sketch 設計app的畫面呈現，同時兼顧 UI/UX，透過實際 App 範例扎實學會 iOS App 開發的 know-how。', 'cover_image': 'https://images.hahow.in/images/5a5665f05863ae001eccd09a', 'incubate_time': '2018-01-24T04:00:08.688Z', 'publish_time': '2018-06-11T04:02:26.950Z', 'video_length': 57400}
[2025-09-02T21:16:38.565+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '635d7696cbbe036b46c884d5', 'category': 'programming', 'uniquename': 'azurecloud', 'title': 'Azure 雲端基礎入門', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/635d7696cbbe036b46c884d5', 'price': 2300, 'preordered_price': 1700, 'average_rating': 5, 'num_rating': 9, 'owner_name': 'Jason', 'sold_num': 160, 'bookmark_count': 313, 'meta_description': '這門課程會介紹基本的雲端服務概念，以微軟 Azure 雲端服務爲主軸，讓同學更進一步認識 Azure 雲端服務的技能與知識。', 'cover_image': 'https://images.hahow.in/images/6388a30ee05826663151758c', 'incubate_time': '2022-12-13T04:00:17.480Z', 'publish_time': '2023-03-06T04:00:13.241Z', 'video_length': 24631}
[2025-09-02T21:16:38.587+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '5f0fe156c6ce3911c174c790', 'category': 'programming', 'uniquename': 'hexschool-jquery', 'title': '使用 jQuery 打造互動性網頁動畫效果', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/5f0fe156c6ce3911c174c790', 'price': 1600, 'preordered_price': 1600, 'average_rating': 4.78, 'num_rating': 27, 'owner_name': '六角學院', 'sold_num': 292, 'bookmark_count': 879, 'meta_description': '儘管你沒有 JavaScript 基礎也適合上這門課，為網頁添加具互動性的網頁動畫效果！', 'cover_image': 'https://images.hahow.in/images/5f4c71ff2836614391895f00', 'incubate_time': None, 'publish_time': '2020-07-31T04:00:41.842Z', 'video_length': 21006}
[2025-09-02T21:16:38.588+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '5d428e522fb50200206226e9', 'category': 'programming', 'uniquename': 'python-ml', 'title': 'AI 行銷學：用 Python 機器學習創造商業新價值', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/5d428e522fb50200206226e9', 'price': 3888, 'preordered_price': 2700, 'average_rating': 4.33, 'num_rating': 12, 'owner_name': '鍾皓軒', 'sold_num': 357, 'bookmark_count': 895, 'meta_description': 'AI 行銷學課程，教你用 Python 機器學習來創造新商業價值。課程將帶你找出消費者重視的變數，從數據中找出商業 insight，透過分析來提高營收、並節省企業成本，讓機器學習幫你開源節流。', 'cover_image': 'https://images.hahow.in/images/5d941d44a7e8fe0020d8b5c8', 'incubate_time': '2019-09-04T04:00:17.524Z', 'publish_time': '2019-12-03T04:06:26.538Z', 'video_length': 40483}
[2025-09-02T21:16:38.589+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '624cefb6961ed70007ae9737', 'category': 'programming', 'uniquename': 'python-abtesting', 'title': 'Python A/B 測試：用數據優化銷售轉換率', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/624cefb6961ed70007ae9737', 'price': 2888, 'preordered_price': 2188, 'average_rating': 0, 'num_rating': 0, 'owner_name': '鍾皓軒', 'sold_num': 91, 'bookmark_count': 328, 'meta_description': '本課程會帶著學員從商業實務、統計理論、Python 實作教學來認識並了解如何利用 A/B 測試比較兩個或兩個以上的廣告。同時，學員也會學會透過動態視覺化網頁，讓統計檢定的結果更易理解。\n\n1. A/B 測試幫助你找到對的廣告\n2. 用 Python 打造 A/B 測試工具\n3. Python 的 A/B 測試應用趣\n4. A/B 測試商業分析實戰\n5. 商業分析師必備技能－A/B 測試', 'cover_image': 'https://images.hahow.in/images/639c592935165c74763c5027', 'incubate_time': '2022-12-21T04:00:21.902Z', 'publish_time': '2023-03-21T03:59:14.290Z', 'video_length': 19340}
[2025-09-02T21:16:38.591+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '5c7a37be4bcf1c0021375ded', 'category': 'programming', 'uniquename': 'berkeley', 'title': '不可錯過的時代趨勢：從自學區塊鏈到專家！', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/5c7a37be4bcf1c0021375ded', 'price': 2200, 'preordered_price': 1800, 'average_rating': 4.85, 'num_rating': 163, 'owner_name': '胡耀傑 Jeff X 李婷婷 Tina', 'sold_num': 1976, 'bookmark_count': 1662, 'meta_description': '區塊鏈課程，提供自學區塊鏈的完整心法。學習加密貨幣、智能合約、開發框架等專有名詞，掌握區塊鏈的分析與應用，透過實作掌握比特幣、以太幣等區塊鏈核心技術，適合想轉職或想學習區塊鏈架構的你。', 'cover_image': 'https://images.hahow.in/images/5cbe8defd1800400200528e6', 'incubate_time': '2019-04-30T04:00:22.522Z', 'publish_time': '2019-07-29T04:03:13.211Z', 'video_length': 27812}
[2025-09-02T21:16:38.608+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '5f0ecaa2cad0d00d06e46aa8', 'category': 'programming', 'uniquename': 'hexschool-rwd', 'title': '一變應萬變：RWD 響應式網頁設計', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/5f0ecaa2cad0d00d06e46aa8', 'price': 2600, 'preordered_price': 2600, 'average_rating': 5, 'num_rating': 10, 'owner_name': '六角學院', 'sold_num': 210, 'bookmark_count': 922, 'meta_description': '還不會目前業界最為流行的響應式網頁設計嗎？讓六角學院線上手把手教會你/妳！', 'cover_image': 'https://images.hahow.in/images/5f4c73195564dd390f69867d', 'incubate_time': None, 'publish_time': '2020-07-31T04:01:11.345Z', 'video_length': 29563}
